Question;Answer
syarat - syarat bebas adminisrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  (Bukti Serah Terima Skripsi)
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan syarat bebas administrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  (Bukti Serah Terima Skripsi)
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan syarat - syarat bebas adminisrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  (Bukti Serah Terima Skripsi)
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan alur wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
apa alur wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
alur wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
sebutkan alur daftar wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
apa alur pendaftaran wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
apa alur daftar wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
sebutkan alur pendaftaran wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
alur daftar wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
alur pendaftaran wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
daftar wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
pendaftaran wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 

2. TRANSKRIP MATAHARI 

Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat   penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.

 

   SYARAT PENGHAPUSAN MATA KULIAH DI TRANSKRIP dan MENYUNTING KHS

   1. Membawa 1 Fotocopi Transkrip dan KHS

   2. Surat Pengantar ke Bagian Akademik dari Admin Prodi

   

3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.

    

4. CETAK SKRIPSI   

5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI (admin prodi)

   Mahasiswa sudah publikasi jurnal,cetak skripsi dan bebas administrasi lab dll)



6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      

7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA

   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU (Sesuai Petunjuk bisa melihat di Form data    

    alumni), setelah mahasiswa mengisi Data Tugas Akhir (Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa).



8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOE
FL
     Mahasiswa Mengisi/Mengupload (SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL) di Web Siakadu      

     Mahasiswa bagian BIODATA. (Admin Prodi yang memvalidasi)



9. SKPI (SURAT KETERANGAN PENDAMPING IJAZAH)

   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 

   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.

   (sertifikat Fakultas, Universitas, Nasional/Internasional). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.

   (Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 

    Sertifikat ke bagian Admin Prodi untuk di Validasi.



Keterangan : 

Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
